municipio,crop,month,rank,is_top3,mean_yield,std_yield,high_yield_rate,n_samples,score,recommendation
Chichicastenango,Mani,7,2,True,78.21,9.06,62.5,48,69.13,recomendado
Chichicastenango,Mani,11,3,True,77.58,8.4,56.2,48,66.88,recomendado
Chichicastenango,Mani,3,4,False,76.71,8.41,56.9,51,66.5,secundario
Chichicastenango,Mani,5,5,False,76.2,12.1,41.7,48,61.43,secundario
Chichicastenango,Mani,12,6,False,73.87,6.68,43.8,48,60.81,secundario
Chichicastenango,Mani,8,7,False,72.74,10.16,39.6,48,58.65,secundario
Chichicastenango,Mani,2,8,False,72.25,7.06,29.4,51,55.43,secundario
Chichicastenango,Mani,1,9,False,71.44,6.87,29.4,51,54.92,secundario
Chichicastenango,Mani,10,10,False,67.02,8.19,16.7,48,48.15,secundario
Chichicastenango,Mani,6,11,False,67.88,7.52,14.6,48,48.12,secundario
Chichicastenango,Mani,9,12,False,66.85,6.62,12.5,48,46.87,secundario
Chichicastenango,Melon,4,1,True,86.76,6.59,93.8,48,84.19,recomendado
Chichicastenango,Melon,3,2,True,80.63,7.31,78.4,51,75.57,recomendado
Chichicastenango,Melon,11,3,True,79.82,7.79,77.1,48,74.62,recomendado
Chichicastenango,Melon,1,4,False,76.74,6.56,62.7,51,68.37,secundario
Chichicastenango,Melon,12,5,False,77.51,5.84,60.4,48,68.21,secundario
Chichicastenango,Melon,2,6,False,76.65,6.44,56.9,51,66.56,secundario
Chichicastenango,Melon,7,7,False,76.09,10.0,47.9,48,63.34,secundario
Chichicastenango,Melon,5,8,False,73.55,11.48,35.4,48,57.86,secundario
Chichicastenango,Melon,8,9,False,70.89,9.17,35.4,48,56.25,secundario
Chichicastenango,Melon,10,10,False,65.84,10.27,18.8,48,47.9,secundario
Chichicastenango,Melon,6,11,False,65.96,6.7,10.4,48,45.66,secundario
Chichicastenango,Melon,9,12,False,62.65,5.86,0.0,48,40.43,secundario
Chichicastenango,Naranja,8,1,True,86.34,9.51,87.5,48,81.9,recomendado
Chichicastenango,Naranja,4,2,True,86.85,10.06,83.3,48,80.95,recomendado
Chichicastenango,Naranja,7,3,True,86.97,9.85,81.2,48,80.41,recomendado
Chichicastenango,Naranja,5,4,False,84.5,9.82,79.2,48,78.18,secundario
Chichicastenango,Naranja,11,5,False,81.44,8.26,79.2,48,76.27,secundario
Chichicastenango,Naranja,9,6,False,77.64,7.31,64.6,48,69.47,secundario
Chichicastenango,Naranja,10,7,False,77.16,8.1,60.4,48,67.87,secundario
Chichicastenango,Naranja,6,8,False,77.93,8.41,58.3,48,67.74,secundario
Chichicastenango,Naranja,12,9,False,74.77,7.18,43.8,48,61.36,secundario
Chichicastenango,Naranja,3,10,False,73.82,10.07,41.2,51,59.83,secundario
Chichicastenango,Naranja,1,11,False,71.66,6.76,31.4,51,55.65,secundario
Chichicastenango,Naranja,2,12,False,69.97,6.64,19.6,51,51.03,secundario
Chichicastenango,Papa,11,1,True,87.68,5.69,97.9,48,86.08,recomendado
Chichicastenango,Papa,4,2,True,88.51,7.35,93.8,48,85.29,recomendado
Chichicastenango,Papa,12,3,True,83.9,7.19,89.6,48,81.05,recomendado
Chichicastenango,Papa,7,4,False,85.55,11.07,81.2,48,79.43,secundario
Chichicastenango,Papa,8,5,False,83.12,9.5,81.2,48,77.93,secundario
Chichicastenango,Papa,3,6,False,80.9,8.15,74.5,51,74.53,secundario
Chichicastenango,Papa,1,7,False,80.68,8.65,74.5,51,74.36,secundario
Chichicastenango,Papa,5,8,False,81.93,9.85,66.7,48,72.76,secundario
Chichicastenango,Papa,10,9,False,79.31,8.27,68.8,48,71.76,secundario
Chichicastenango,Papa,2,10,False,77.64,7.13,60.8,51,68.34,secundario
Chichicastenango,Papa,6,11,False,77.47,8.09,60.4,48,68.07,secundario
Chichicastenango,Papa,9,12,False,76.92,6.46,58.3,48,67.18,secundario
Chichicastenango,Papaya,8,1,True,80.81,9.11,77.1,48,75.2,recomendado
Chichicastenango,Papaya,5,2,True,81.15,9.3,70.8,48,73.53,recomendado
Chichicastenango,Papaya,7,3,True,80.33,10.61,64.6,48,71.06,recomendado
Chichicastenango,Papaya,4,4,False,77.69,10.08,56.2,48,66.87,secundario
Chichicastenango,Papaya,10,5,False,75.76,9.3,50.0,48,63.78,secundario
Chichicastenango,Papaya,6,6,False,73.76,8.02,45.8,48,61.3,secundario
Chichicastenango,Papaya,9,7,False,73.74,11.75,39.6,48,59.22,secundario
Chichicastenango,Papaya,11,8,False,72.5,8.08,33.3,48,56.72,secundario
Chichicastenango,Papaya,3,9,False,66.03,9.62,15.7,51,47.14,secundario
Chichicastenango,Papaya,12,10,False,64.25,6.18,4.2,48,42.71,secundario
Chichicastenango,Papaya,1,11,False,63.67,6.98,2.0,51,41.63,secundario
Chichicastenango,Papaya,2,12,False,62.31,7.39,2.0,51,40.72,secundario
Chichicastenango,Pepino,4,1,True,86.34,6.28,95.8,48,84.56,recomendado
Chichicastenango,Pepino,11,2,True,85.58,8.72,89.6,48,82.06,recomendado
Chichicastenango,Pepino,7,3,True,83.15,9.85,72.9,48,75.43,recomendado
Chichicastenango,Pepino,3,4,False,80.59,8.84,76.5,51,74.88,secundario
Chichicastenango,Pepino,12,5,False,81.78,8.78,72.9,48,74.59,secundario
Chichicastenango,Pepino,5,6,False,79.64,10.41,64.6,48,70.62,secundario
Chichicastenango,Pepino,8,7,False,79.0,10.18,60.4,48,68.97,secundario
Chichicastenango,Pepino,1,8,False,77.95,7.74,60.8,51,68.52,secundario
Chichicastenango,Pepino,2,9,False,76.35,7.89,54.9,51,65.71,secundario
Chichicastenango,Pepino,10,10,False,74.69,8.77,39.6,48,59.98,secundario
Chichicastenango,Pepino,6,11,False,73.76,6.01,39.6,48,59.52,secundario
Chichicastenango,Pepino,9,12,False,72.15,7.01,37.5,48,57.8,secundario
Chichicastenango,Pina,5,1,True,85.15,10.06,83.3,48,79.85,recomendado
Chichicastenango,Pina,8,2,True,83.46,8.58,83.3,48,78.82,recomendado
Chichicastenango,Pina,4,3,True,82.9,8.69,75.0,48,75.95,recomendado
Chichicastenango,Pina,7,4,False,81.66,11.09,72.9,48,74.4,secundario
Chichicastenango,Pina,10,5,False,79.26,10.84,60.4,48,69.1,secundario
Chichicastenango,Pina,11,6,False,78.03,9.5,62.5,48,69.0,secundario
Chichicastenango,Pina,6,7,False,78.01,10.17,56.2,48,67.07,secundario
Chichicastenango,Pina,9,8,False,77.86,11.71,54.2,48,66.27,secundario
Chichicastenango,Pina,12,9,False,71.14,5.27,18.8,48,51.6,secundario
Chichicastenango,Pina,3,10,False,68.9,9.51,21.6,51,50.78,secundario
Chichicastenango,Pina,1,11,False,67.49,7.58,17.6,51,48.78,secundario
Chichicastenango,Pina,2,12,False,66.79,6.37,13.7,51,47.21,secundario
Chichicastenango,Repollo,4,1,True,87.49,8.14,93.8,48,84.59,recomendado
Chichicastenango,Repollo,11,2,True,87.18,6.54,93.8,48,84.46,recomendado
Chichicastenango,Repollo,12,3,True,85.92,7.48,95.8,48,84.23,recomendado
Chichicastenango,Repollo,2,4,False,81.72,7.27,86.3,51,78.64,secundario
Chichicastenango,Repollo,1,5,False,81.63,7.28,80.4,51,76.81,secundario
Chichicastenango,Repollo,3,6,False,81.84,6.82,78.4,51,76.39,secundario
Chichicastenango,Repollo,7,7,False,82.16,11.44,72.9,48,74.7,secundario
Chichicastenango,Repollo,5,8,False,78.95,10.58,60.4,48,68.92,secundario
Chichicastenango,Repollo,8,9,False,77.64,10.85,58.3,48,67.42,secundario
Chichicastenango,Repollo,10,10,False,76.62,9.14,52.1,48,64.97,secundario
Chichicastenango,Repollo,6,11,False,73.65,5.97,43.8,48,60.7,secundario
Chichicastenango,Repollo,9,12,False,72.4,6.75,33.3,48,56.73,secundario
Chichicastenango,Sandia,4,1,True,81.98,7.62,81.2,48,77.28,recomendado
Chichicastenango,Sandia,3,2,True,78.07,8.1,66.7,51,70.34,recomendado
Chichicastenango,Sandia,7,3,True,73.32,10.51,50.0,48,62.14,recomendado
Chichicastenango,Sandia,1,4,False,74.14,7.26,45.1,51,61.36,secundario
Chichicastenango,Sandia,12,5,False,74.34,5.38,43.8,48,61.17,secundario
Chichicastenango,Sandia,2,6,False,73.56,6.5,43.1,51,60.43,secundario
Chichicastenango,Sandia,11,7,False,72.94,8.59,43.8,48,60.1,secundario
Chichicastenango,Sandia,5,8,False,70.0,12.29,33.3,48,54.88,secundario
Chichicastenango,Sandia,8,9,False,66.69,11.5,20.8,48,49.02,secundario
Chichicastenango,Sandia,10,10,False,63.09,9.97,12.5,48,44.26,secundario
Chichicastenango,Sandia,6,11,False,61.66,6.62,2.1,48,40.38,secundario
Chichicastenango,Sandia,9,12,False,60.45,5.69,2.1,48,39.63,secundario
Chichicastenango,Sorgo,4,1,True,87.47,6.48,93.8,48,84.66,recomendado
Chichicastenango,Sorgo,3,2,True,81.17,7.84,76.5,51,75.31,recomendado
Chichicastenango,Sorgo,7,3,True,81.32,10.41,72.9,48,74.22,recomendado
Chichicastenango,Sorgo,11,4,False,79.01,8.28,68.8,48,71.57,secundario
Chichicastenango,Sorgo,2,5,False,76.08,6.99,62.7,51,67.92,secundario
Chichicastenango,Sorgo,12,6,False,76.32,7.81,47.9,48,63.59,secundario
Chichicastenango,Sorgo,8,7,False,75.33,10.68,50.0,48,63.43,secundario
Chichicastenango,Sorgo,5,8,False,76.66,11.08,45.8,48,63.03,secundario
Chichicastenango,Sorgo,1,9,False,73.99,7.45,51.0,51,63.01,secundario
Chichicastenango,Sorgo,10,10,False,68.93,9.57,22.9,48,51.2,secundario
Chichicastenango,Sorgo,6,11,False,68.27,8.77,20.8,48,50.19,secundario
Chichicastenango,Sorgo,9,12,False,67.25,5.75,12.5,48,47.17,secundario
Chichicastenango,Soya,4,1,True,83.14,8.38,85.4,48,79.25,recomendado
Chichicastenango,Soya,7,2,True,83.4,9.6,77.1,48,76.85,recomendado
Chichicastenango,Soya,8,3,True,82.38,9.42,79.2,48,76.82,recomendado
Chichicastenango,Soya,11,4,False,80.65,9.27,77.1,48,75.08,secundario
Chichicastenango,Soya,5,5,False,80.16,8.31,68.8,48,72.31,secundario
Chichicastenango,Soya,12,6,False,74.12,7.93,47.9,48,62.16,secundario
Chichicastenango,Soya,10,7,False,74.35,7.58,45.8,48,61.7,secundario
Chichicastenango,Soya,9,8,False,74.32,8.63,45.8,48,61.63,secundario
Chichicastenango,Soya,3,9,False,73.78,9.67,45.1,51,61.0,secundario
Chichicastenango,Soya,6,10,False,72.78,9.61,39.6,48,58.7,secundario
Chichicastenango,Soya,1,11,False,70.54,6.11,23.5,51,52.6,secundario
Chichicastenango,Soya,2,12,False,69.85,7.79,19.6,51,50.9,secundario
Chichicastenango,Tomate,4,1,True,88.6,6.54,95.8,48,86.01,recomendado
Chichicastenango,Tomate,12,2,True,84.91,8.05,91.7,48,82.29,recomendado
Chichicastenango,Tomate,1,3,True,82.09,6.37,84.3,51,78.34,recomendado
Chichicastenango,Tomate,11,4,False,82.29,8.63,83.3,48,78.06,secundario
Chichicastenango,Tomate,3,5,False,81.15,8.03,80.4,51,76.47,secundario
Chichicastenango,Tomate,2,6,False,80.38,7.55,70.6,51,73.04,secundario
Chichicastenango,Tomate,7,7,False,79.93,11.26,66.7,48,71.39,secundario
Chichicastenango,Tomate,5,8,False,79.73,10.73,66.7,48,71.29,secundario
Chichicastenango,Tomate,8,9,False,76.64,9.65,50.0,48,64.33,secundario
Chichicastenango,Tomate,10,10,False,72.72,10.61,37.5,48,57.99,secundario
Chichicastenango,Tomate,9,11,False,69.16,7.43,29.2,48,53.33,secundario
Chichicastenango,Tomate,6,12,False,70.06,6.23,18.8,48,50.85,secundario
Chichicastenango,Trigo,4,1,True,89.93,9.4,93.8,48,86.11,recomendado
Chichicastenango,Trigo,1,2,True,85.69,6.51,98.0,51,84.78,recomendado
Chichicastenango,Trigo,3,3,True,87.64,9.03,88.2,51,82.99,recomendado
Chichicastenango,Trigo,2,4,False,86.67,8.13,88.2,51,82.4,secundario
Chichicastenango,Trigo,11,5,False,85.16,8.62,89.6,48,81.8,secundario
Chichicastenango,Trigo,12,6,False,84.33,7.34,89.6,48,81.32,secundario
Chichicastenango,Trigo,7,7,False,78.84,11.92,64.6,48,70.03,secundario
Chichicastenango,Trigo,5,8,False,76.08,9.72,50.0,48,63.96,secundario
Chichicastenango,Trigo,8,9,False,71.96,11.2,33.3,48,56.21,secundario
Chichicastenango,Trigo,10,10,False,72.62,10.95,31.2,48,56.03,secundario
Chichicastenango,Trigo,6,11,False,68.28,7.48,16.7,48,49.01,secundario
Chichicastenango,Trigo,9,12,False,66.8,7.27,14.6,48,47.43,secundario
Chichicastenango,Yuca,7,1,True,79.82,8.16,75.0,48,73.98,recomendado
Chichicastenango,Yuca,4,2,True,80.75,8.96,70.8,48,73.29,recomendado
Chichicastenango,Yuca,5,3,True,79.9,10.94,62.5,48,70.14,recomendado
Chichicastenango,Yuca,8,4,False,79.02,10.4,62.5,48,69.59,secundario
Chichicastenango,Yuca,11,5,False,76.05,9.23,54.2,48,65.22,secundario
Chichicastenango,Yuca,10,6,False,75.07,8.43,43.8,48,61.5,secundario
Chichicastenango,Yuca,9,7,False,72.79,9.99,37.5,48,58.06,secundario
Chichicastenango,Yuca,6,8,False,72.59,9.16,31.2,48,56.1,secundario
Chichicastenango,Yuca,3,9,False,69.54,8.41,25.5,51,52.43,secundario
Chichicastenango,Yuca,12,10,False,69.34,6.56,20.8,48,51.0,secundario
Chichicastenango,Yuca,1,11,False,65.62,5.84,5.9,51,44.13,secundario
Chichicastenango,Yuca,2,12,False,65.39,6.98,5.9,51,43.92,secundario
Chichicastenango,Zanahoria,4,1,True,87.69,6.82,100.0,48,86.66,recomendado
Chichicastenango,Zanahoria,12,2,True,85.51,6.33,93.8,48,83.39,recomendado
Chichicastenango,Zanahoria,1,3,True,85.14,7.67,90.2,51,82.01,recomendado
Chichicastenango,Zanahoria,11,4,False,85.21,8.71,89.6,48,81.82,secundario
Chichicastenango,Zanahoria,3,5,False,84.44,7.67,86.3,51,80.39,secundario
Chichicastenango,Zanahoria,2,6,False,83.62,7.94,86.3,51,79.84,secundario
Chichicastenango,Zanahoria,5,7,False,78.39,10.56,64.6,48,69.8,secundario
Chichicastenango,Zanahoria,7,8,False,79.21,12.82,60.4,48,68.97,secundario
Chichicastenango,Zanahoria,8,9,False,75.82,9.92,54.2,48,65.04,secundario
Chichicastenango,Zanahoria,10,10,False,73.54,9.58,41.7,48,59.82,secundario
Chichicastenango,Zanahoria,6,11,False,71.59,6.46,29.2,48,54.96,secundario
Chichicastenango,Zanahoria,9,12,False,68.13,7.06,18.8,48,49.56,secundario
Chichicastenango,Zucchini,4,1,True,86.87,7.53,91.7,48,83.59,recomendado
Chichicastenango,Zucchini,12,2,True,82.5,7.29,89.6,48,80.13,recomendado
Chichicastenango,Zucchini,3,3,True,82.07,9.32,82.4,51,77.59,recomendado
Chichicastenango,Zucchini,11,4,False,81.78,9.15,77.1,48,75.83,secundario
Chichicastenango,Zucchini,7,5,False,79.96,9.66,70.8,48,72.74,secundario
Chichicastenango,Zucchini,1,6,False,78.83,8.11,70.6,51,72.01,secundario
Chichicastenango,Zucchini,2,7,False,77.02,7.72,56.9,51,66.73,secundario
Chichicastenango,Zucchini,5,8,False,77.32,11.77,50.0,48,64.67,secundario
Chichicastenango,Zucchini,8,9,False,74.04,10.39,52.1,48,63.23,secundario
Chichicastenango,Zucchini,10,10,False,72.4,10.1,31.2,48,55.93,secundario
Chichicastenango,Zucchini,6,11,False,70.67,7.1,29.2,48,54.33,secundario
Chichicastenango,Zucchini,9,12,False,68.47,6.75,16.7,48,49.17,secundario
Chimaltenango,Aguacate,5,1,True,90.57,8.6,93.8,48,86.57,recomendado
Chimaltenango,Aguacate,4,2,True,89.47,8.08,93.8,48,85.88,recomendado
Chimaltenango,Aguacate,8,3,True,89.52,9.54,93.8,48,85.83,recomendado
Chimaltenango,Aguacate,7,4,False,89.19,9.08,93.8,48,85.65,secundario
Chimaltenango,Aguacate,10,5,False,86.27,9.33,89.6,48,82.48,secundario
Chimaltenango,Aguacate,11,6,False,86.04,9.26,87.5,48,81.71,secundario
Chimaltenango,Aguacate,12,7,False,82.19,7.14,83.3,48,78.07,secundario
Chimaltenango,Aguacate,1,8,False,80.47,5.63,80.4,51,76.14,secundario
Chimaltenango,Aguacate,9,9,False,82.43,9.45,75.0,48,75.61,secundario
Chimaltenango,Aguacate,6,10,False,80.95,10.73,68.8,48,72.71,secundario
Chimaltenango,Aguacate,2,11,False,78.7,6.58,72.5,51,72.59,secundario
Chimaltenango,Aguacate,3,12,False,78.88,8.02,64.7,51,70.29,secundario
Chimaltenango,Arroz,8,1,True,89.66,8.09,95.8,48,86.62,recomendado
Chimaltenango,Arroz,5,2,True,88.25,10.94,87.5,48,83.07,recomendado
Chimaltenango,Arroz,6,3,True,87.78,10.93,83.3,48,81.51,recomendado
Chimaltenango,Arroz,9,4,False,87.35,11.05,79.2,48,79.98,secundario
Chimaltenango,Arroz,10,5,False,86.74,11.28,79.2,48,79.57,secundario
Chimaltenango,Arroz,7,6,False,84.89,9.68,81.2,48,79.07,secundario
Chimaltenango,Arroz,4,7,False,76.67,9.49,52.1,48,64.99,secundario
Chimaltenango,Arroz,11,8,False,77.43,10.52,45.8,48,63.55,secundario
Chimaltenango,Arroz,12,9,False,72.27,5.48,31.2,48,56.08,secundario
Chimaltenango,Arroz,3,10,False,67.18,7.73,21.6,51,49.75,secundario
Chimaltenango,Arroz,1,11,False,68.97,6.62,15.7,51,49.21,secundario
Chimaltenango,Arroz,2,12,False,68.03,7.78,13.7,51,47.95,secundario
Chimaltenango,Avena,4,1,True,90.06,8.12,93.8,48,86.26,recomendado
Chimaltenango,Avena,12,2,True,87.97,7.36,95.8,48,85.56,recomendado
Chimaltenango,Avena,1,3,True,86.92,7.05,98.0,51,85.56,recomendado
Chimaltenango,Avena,2,4,False,87.11,5.72,96.1,51,85.16,secundario
Chimaltenango,Avena,3,5,False,85.75,6.45,94.1,51,83.65,secundario
Chimaltenango,Avena,11,6,False,86.49,9.61,89.6,48,82.61,secundario
Chimaltenango,Avena,7,7,False,82.69,11.86,68.8,48,73.78,secundario
Chimaltenango,Avena,5,8,False,79.46,11.35,62.5,48,69.83,secundario
Chimaltenango,Avena,8,9,False,78.95,13.57,52.1,48,66.26,secundario
Chimaltenango,Avena,10,10,False,73.81,9.89,33.3,48,57.48,secundario
Chimaltenango,Avena,9,11,False,68.32,7.0,22.9,48,50.93,secundario
Chimaltenango,Avena,6,12,False,68.56,6.97,14.6,48,48.59,secundario
Chimaltenango,Banano,8,1,True,87.69,8.92,89.6,48,83.43,recomendado
Chimaltenango,Banano,5,2,True,86.57,10.42,83.3,48,80.75,recomendado
Chimaltenango,Banano,9,3,True,85.66,10.58,79.2,48,78.9,recomendado
Chimaltenango,Banano,6,4,False,83.59,10.43,77.1,48,76.94,secundario
Chimaltenango,Banano,7,5,False,82.67,10.29,72.9,48,75.09,secundario
Chimaltenango,Banano,10,6,False,83.34,12.46,66.7,48,73.55,secundario
Chimaltenango,Banano,4,7,False,73.92,10.08,41.7,48,60.05,secundario
Chimaltenango,Banano,11,8,False,74.05,9.79,39.6,48,59.52,secundario
Chimaltenango,Banano,3,9,False,68.22,7.74,21.6,51,50.42,secundario
Chimaltenango,Banano,12,10,False,67.65,6.94,14.6,48,48.0,secundario
Chimaltenango,Banano,1,11,False,65.67,6.74,9.8,51,45.29,secundario
Chimaltenango,Banano,2,12,False,64.47,6.28,5.9,51,43.36,secundario
Chimaltenango,Berenjena,4,1,True,89.76,8.57,91.7,48,85.42,recomendado
Chimaltenango,Berenjena,3,2,True,84.62,6.91,98.0,51,84.07,recomendado
Chimaltenango,Berenjena,12,3,True,85.18,6.92,91.7,48,82.52,recomendado
Chimaltenango,Berenjena,2,4,False,82.39,7.61,86.3,51,79.06,secundario
Chimaltenango,Berenjena,11,5,False,82.79,8.62,81.2,48,77.76,secundario
Chimaltenango,Berenjena,1,6,False,82.92,8.23,76.5,51,76.43,secundario
Chimaltenango,Berenjena,5,7,False,82.38,10.53,75.0,48,75.52,secundario
Chimaltenango,Berenjena,7,8,False,80.07,11.2,64.6,48,70.86,secundario
Chimaltenango,Berenjena,8,9,False,79.59,12.33,54.2,48,67.36,secundario
Chimaltenango,Berenjena,10,10,False,75.2,8.23,41.7,48,60.97,secundario
Chimaltenango,Berenjena,6,11,False,71.03,9.1,29.2,48,54.47,secundario
Chimaltenango,Berenjena,9,12,False,69.69,7.72,25.0,48,52.41,secundario
Chimaltenango,Brocoli,4,1,True,88.91,7.29,95.8,48,86.18,recomendado
Chimaltenango,Brocoli,3,2,True,85.66,7.0,94.1,51,83.56,recomendado
Chimaltenango,Brocoli,11,3,True,87.68,8.92,89.6,48,83.42,recomendado
Chimaltenango,Brocoli,1,4,False,85.97,7.39,92.2,51,83.16,secundario
Chimaltenango,Brocoli,12,5,False,86.09,7.36,91.7,48,83.09,secundario
Chimaltenango,Brocoli,2,6,False,85.4,7.61,88.2,51,81.6,secundario
Chimaltenango,Brocoli,7,7,False,84.51,10.54,81.2,48,78.78,secundario
Chimaltenango,Brocoli,8,8,False,81.98,10.07,70.8,48,74.03,secundario
Chimaltenango,Brocoli,5,9,False,81.42,11.03,64.6,48,71.75,secundario
Chimaltenango,Brocoli,10,10,False,77.28,8.65,64.6,48,69.17,secundario
Chimaltenango,Brocoli,9,11,False,74.17,6.56,50.0,48,62.88,secundario
Chimaltenango,Brocoli,6,12,False,74.45,6.58,33.3,48,58.06,secundario
Chimaltenango,Cacao,5,1,True,83.33,10.41,79.2,48,77.39,recomendado
Chimaltenango,Cacao,8,2,True,82.39,9.27,75.0,48,75.59,recomendado
Chimaltenango,Cacao,9,3,True,82.71,11.26,72.9,48,75.07,recomendado
Chimaltenango,Cacao,6,4,False,80.79,10.41,70.8,48,73.24,secundario
Chimaltenango,Cacao,10,5,False,79.65,10.88,66.7,48,71.23,secundario
Chimaltenango,Cacao,7,6,False,79.17,8.8,66.7,48,71.02,secundario
Chimaltenango,Cacao,11,7,False,70.19,10.12,27.1,48,53.24,secundario
Chimaltenango,Cacao,4,8,False,68.04,11.22,27.1,48,51.79,secundario
Chimaltenango,Cacao,12,9,False,64.76,6.29,8.3,48,44.28,secundario
Chimaltenango,Cacao,1,10,False,59.35,6.57,0.0,51,38.25,secundario
Chimaltenango,Cacao,3,11,False,59.05,6.19,0.0,51,38.08,secundario
Chimaltenango,Cacao,2,12,False,56.87,6.95,0.0,51,36.62,secundario
Chimaltenango,Cafe,8,1,True,88.52,8.03,93.8,48,85.26,recomendado
Chimaltenango,Cafe,5,2,True,87.39,8.01,91.7,48,83.9,recomendado
Chimaltenango,Cafe,7,3,True,84.52,10.36,75.0,48,76.92,recomendado
Chimaltenango,Cafe,9,4,False,83.32,10.7,72.9,48,75.5,secundario
Chimaltenango,Cafe,6,5,False,80.13,11.07,72.9,48,73.4,secundario
Chimaltenango,Cafe,10,6,False,82.22,11.18,64.6,48,72.26,secundario
Chimaltenango,Cafe,4,7,False,77.21,9.87,47.9,48,64.07,secundario
Chimaltenango,Cafe,11,8,False,76.13,9.95,45.8,48,62.74,secundario
Chimaltenango,Cafe,12,9,False,68.78,6.75,22.9,48,51.24,secundario
Chimaltenango,Cafe,3,10,False,69.02,7.12,19.6,51,50.39,secundario
Chimaltenango,Cafe,2,11,False,69.31,6.34,13.7,51,48.85,secundario
Chimaltenango,Cafe,1,12,False,68.48,5.37,11.8,51,47.77,secundario
Chimaltenango,Camote,4,1,True,87.01,6.25,95.8,48,84.99,recomendado
Chimaltenango,Camote,11,2,True,80.16,8.02,79.2,48,75.45,recomendado
Chimaltenango,Camote,5,3,True,83.51,10.94,68.8,48,74.36,recomendado
Chimaltenango,Camote,7,4,False,80.85,12.24,66.7,48,71.94,secundario
Chimaltenango,Camote,8,5,False,80.77,13.27,60.4,48,69.97,secundario
Chimaltenango,Camote,2,6,False,76.85,6.73,62.7,51,68.44,secundario
Chimaltenango,Camote,1,7,False,75.72,6.54,64.7,51,68.3,secundario
Chimaltenango,Camote,3,8,False,78.59,10.04,56.9,51,67.64,secundario
Chimaltenango,Camote,12,9,False,76.78,9.15,60.4,48,67.58,secundario
Chimaltenango,Camote,10,10,False,76.09,9.79,60.4,48,67.1,secundario
Chimaltenango,Camote,6,11,False,70.7,10.51,25.0,48,52.93,secundario
Chimaltenango,Camote,9,12,False,71.24,10.42,22.9,48,52.66,secundario
Chimaltenango,Cana de azucar,8,1,True,89.26,8.89,89.6,48,84.45,recomendado
Chimaltenango,Cana de azucar,5,2,True,88.76,9.95,85.4,48,82.82,recomendado
Chimaltenango,Cana de azucar,7,3,True,85.55,8.76,87.5,48,81.42,recomendado
Chimaltenango,Cana de azucar,4,4,False,84.33,9.24,85.4,48,79.98,secundario
Chimaltenango,Cana de azucar,10,5,False,80.88,9.8,68.8,48,72.7,secundario
Chimaltenango,Cana de azucar,6,6,False,80.22,10.58,66.7,48,71.62,secundario
Chimaltenango,Cana de azucar,9,7,False,81.06,11.53,62.5,48,70.87,secundario
Chimaltenango,Cana de azucar,11,8,False,78.49,9.8,62.5,48,69.28,secundario
Chimaltenango,Cana de azucar,3,9,False,75.69,7.88,54.9,51,65.28,secundario
Chimaltenango,Cana de azucar,2,10,False,74.99,6.84,39.2,51,60.16,secundario
Chimaltenango,Cana de azucar,12,11,False,73.61,6.17,33.3,48,57.54,secundario
Chimaltenango,Cana de azucar,1,12,False,72.19,6.87,35.3,51,57.17,secundario
Chimaltenango,Cardamomo,8,1,True,88.46,7.4,97.9,48,86.5,recomendado
Chimaltenango,Cardamomo,5,2,True,84.83,9.58,83.3,48,79.66,recomendado
Chimaltenango,Cardamomo,6,3,True,82.76,8.32,85.4,48,79.01,recomendado
Chimaltenango,Cardamomo,7,4,False,83.54,10.66,79.2,48,77.52,secundario
Chimaltenango,Cardamomo,9,5,False,83.22,11.36,66.7,48,73.52,secundario
Chimaltenango,Cardamomo,10,6,False,81.54,11.41,64.6,48,71.81,secundario
Chimaltenango,Cardamomo,11,7,False,76.11,8.66,45.8,48,62.79,secundario
Chimaltenango,Cardamomo,4,8,False,74.41,10.52,39.6,48,59.72,secundario
Chimaltenango,Cardamomo,12,9,False,69.12,7.3,22.9,48,51.44,secundario
Chimaltenango,Cardamomo,3,10,False,66.95,6.95,13.7,51,47.29,secundario
Chimaltenango,Cardamomo,1,11,False,66.83,6.29,5.9,51,44.89,secundario
Chimaltenango,Cardamomo,2,12,False,65.01,5.87,3.9,51,43.14,secundario
Chimaltenango,Cebolla,12,1,True,92.42,6.22,100.0,48,89.76,recomendado
Chimaltenango,Cebolla,1,2,True,91.99,5.54,100.0,51,89.52,recomendado
Chimaltenango,Cebolla,2,3,True,91.83,5.98,100.0,51,89.39,recomendado
Chimaltenango,Cebolla,3,4,False,91.69,6.01,100.0,51,89.3,secundario
Chimaltenango,Cebolla,4,5,False,90.72,9.01,93.8,48,86.64,secundario
Chimaltenango,Cebolla,11,6,False,85.37,10.56,77.1,48,78.09,secundario
Chimaltenango,Cebolla,7,7,False,78.49,12.78,62.5,48,69.13,secundario
Chimaltenango,Cebolla,5,8,False,78.1,12.18,52.1,48,65.78,secundario
Chimaltenango,Cebolla,8,9,False,75.05,10.42,47.9,48,62.64,secundario
Chimaltenango,Cebolla,10,10,False,72.58,8.65,35.4,48,57.37,secundario
Chimaltenango,Cebolla,6,11,False,67.17,7.65,16.7,48,48.28,secundario
Chimaltenango,Cebolla,9,12,False,66.66,6.83,10.4,48,46.11,secundario
Chimaltenango,Chile,4,1,True,90.94,9.02,91.7,48,86.16,recomendado
